year,consumption_emissions,asset_id,energy_type,asset_domain,asset_type,scenario
2035,16.875289481588226,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2036,16.875289481588226,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2037,16.875289481588226,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2038,16.875289481588226,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2039,16.875289481588226,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2040,16.875289481588226,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2041,16.875289481588226,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2042,16.875289481588226,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2043,16.875289481588226,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2044,16.875289481588226,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2045,16.875289481588226,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2046,16.875289481588226,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2047,16.875289481588226,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2048,16.875289481588226,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2049,16.875289481588226,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2024,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2025,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2026,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2027,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2028,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2029,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2030,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2031,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2032,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2033,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2034,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2035,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2036,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2037,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2038,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2039,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2040,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2041,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2042,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
