year,consumption,asset_id,energy_type,asset_domain,asset_type,scenario
2040,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2041,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2042,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2043,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2044,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2045,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2046,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2047,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2048,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2049,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2024,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2025,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2026,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2027,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2028,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2029,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2030,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2031,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2032,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2033,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2034,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2035,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
2036,0.0,IL_1224308031,propane,building,building_aggregate,continued_gas
