year,consumption_costs,asset_id,energy_type,asset_domain,asset_type,scenario
2020,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2021,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2022,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2023,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2024,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2025,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2026,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2027,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2028,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2029,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2030,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2031,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2032,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2033,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2034,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2035,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2036,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2037,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
2038,0.0,F_350459_2902427,fuel_oil,building,building_aggregate,hybrid_gas
