year,annual_operating_costs,asset_id,asset_domain,asset_type,scenario
2060,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2061,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2062,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2063,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2064,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2065,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2020,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2021,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2022,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2023,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2024,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2025,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2026,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2027,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2028,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2029,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2030,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2031,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2032,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2033,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2034,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2035,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2036,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2037,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2038,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2039,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2040,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2041,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2042,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2043,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2044,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2045,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2046,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2047,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2048,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2049,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2050,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2051,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2052,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2053,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
2054,29.82954545454545,GS025,gas_network,gas_service,hybrid_gas
